"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1",1,0.0132047273218632,0.0326695628464222,320,1.94518768787384,0,0,179795869696,0.00849118363112211,0.0149399414658546,0.00644874759018421,0.000330479902913794,45957772,799.892211914062,0,188.428146362305,45957572,0.021271014586091,0.0027169652748853,1.30482375621796,NA,NA,0.00668777897953987,0.000377905933419243,0.00199874327518046,0.00331543874926865,0.00601657247170806,0.00287457602098584,1.12953197956085,0.0188953019678593,0.0481071844696999,0.0828859433531761,0.0171902067959309,0.00821307487785816,3.48912326444406e-05,0.00242397026158869,0.000258103624219075,0.00348912319168448,NA,NA,200,0,0.769997298717499,-123.18953704834,0.0732692703604698,NA,3.06295818332119e-38,1797958664192,3.06295818332119e-38,1797958664192,1.00000047683716,0.00223569734953344,0.0256567560136318,0.00230121635831892,0.00249114818871021,0,0,0,1.15391612052917,0.00249114818871021,1797958656,3.06295818332119e-41,1797958656
"2",2,0.0187518503516912,0.0434446223080158,674.927917480469,1.34223914146423,0,0,179795869696,0.0200620554387569,0.0269153825938702,0.00685332901775837,0.00119796488434076,45060560,799.9306640625,0,157.689788818359,45060404,0.0364172011613846,0.00643487507477403,1.67701780796051,NA,NA,0.0155279543250799,0.000805860850960016,0.00203165831044316,0.00420254142954946,0.00730477413162589,0.00654441211372614,1.43156492710114,0.0402930863201618,0.0605272352695465,0.105063483119011,0.0208707824349403,0.0186983291059732,0.000140569231007248,0.00565451430156827,0.00063979160040617,0.0140569228678942,NA,NA,200,0,0.499961912631989,-104.045928955078,0.11285675317049,NA,0.359010607004166,0.0179505348205566,0.359010607004166,0.0179505329579115,1.99997925758362,0.0035038844216615,0.0307095889002085,0.000363454106263816,0.00499591650441289,0.000408273568609729,0.000278656225418672,0.00010968135757139,1.30995225906372,0.00499591650441289,2.36786763707642e-06,0,0
"3",3,0.0293683111667633,0.0732812806963921,1339.26208496094,1.1132298707962,0,0,179795869696,0.027723453938961,0.0403517857193947,0.0126283261924982,0.00255776545964181,61941340,799.935729980469,0,168.143844604492,61941168,0.0563073381781578,0.0117104677483439,3.5227677822113,NA,NA,0.0222156569361687,0.00151395821012557,0.00329476594924927,0.00735028134658933,0.0132637359201908,0.0086689405143261,3.09841418266296,0.0756978914141655,0.102233752608299,0.183756992220879,0.0378963872790337,0.0247683990746737,0.000320092978654429,0.0102696996182203,0.00112067570444196,0.0320092998445034,NA,NA,200,0,2.0613226890564,-117.006843566895,0.178993120789528,NA,0.686192512512207,0.0343096703290939,0.686192572116852,0.0343096740543842,2.99995803833008,0.00593567360192537,0.0379193015396595,0.00165369815658778,0.00811840500682592,0.00218584202229977,0.000533727812580764,0.000172155123436823,1.06781327724457,0.00811840500682592,4.8301117203664e-06,0,0
"4",4,0.0471674017608166,0.127524733543396,2524.62719726562,0.99846488237381,0,0,179795869696,0.0425051413476467,0.0626833364367485,0.0201782025396824,0.00423985160887241,53766744,799.907470703125,0,156.957061767578,53766560,0.0850927382707596,0.0211904011666775,5.05165100097656,NA,NA,0.0306202303618193,0.00296811573207378,0.00527637172490358,0.0128176882863045,0.0228293910622597,0.0105809420347214,4.31160259246826,0.148405820131302,0.175742477178574,0.320442080497742,0.0652268305420876,0.030231261625886,0.00059449439868331,0.0187085904181004,0.0018873157678172,0.0594494417309761,NA,NA,200,0,1.95193982124329,-107.177925109863,0.31248927116394,NA,1.2404762506485,0.0620237849652767,1.2404762506485,0.0620237849652767,3.99993681907654,0.00965968426316977,0.0460749343037605,0.00257170153781772,0.0115379635244608,0.00551112741231918,0.00101348152384162,0.00030840840190649,0.917054533958435,0.0115379635244608,9.3989528977545e-06,0,0
"5",5,0.0693511217832565,0.192187458276749,4870.11767578125,0.875616908073425,0,0,179795869696,0.0605643875896931,0.0891196057200432,0.028555216267705,0.0104104243218899,36167700,799.83251953125,0,156.264709472656,36167528,0.105238452553749,0.0511987395584583,9.25349712371826,NA,NA,0.0344560407102108,0.00448489654809237,0.00765835214406252,0.01920529268682,0.0271797068417072,0.0122541654855013,8.17316436767578,0.224244818091393,0.263288021087646,0.480132013559341,0.0776563063263893,0.0350119099020958,0.00134018005337566,0.0391338542103767,0.0107247047126293,0.134018003940582,NA,NA,200,0,5.73703289031982,-108.571517944336,0.445813596248627,NA,2.52507066726685,0.126253545284271,2.52507042884827,0.126253545284271,5.00000238418579,0.00490562664344907,0.0351354777812958,0.00399303343147039,0.0136236874386668,0.0110989613458514,0.000702220480889082,0.000154469729750417,0.899474918842316,0.0136236874386668,1.64442135428544e-05,0,0
"6",6,0.111370101571083,0.314867436885834,7881.634765625,0.880218684673309,0,0,179795869696,0.0974165499210358,0.144334211945534,0.0469176881015301,0.0180626548826694,44653896,799.902221679688,0,182.991180419922,44653704,0.159669622778893,0.0761214196681976,13.9489316940308,NA,NA,0.0504885986447334,0.00967044569551945,0.0111945895478129,0.0315899141132832,0.0410648360848427,0.0156612582504749,12.08824634552,0.483522444963455,0.425340205430984,0.789747893810272,0.117328107357025,0.0447464697062969,0.00234849727712572,0.0591914393007755,0.0145814847201109,0.234849721193314,NA,NA,200,0,6.56198024749756,-124.63109588623,0.742861390113831,NA,3.53567171096802,0.176783591508865,3.5356719493866,0.176783591508865,6.00006818771362,0.00632927007973194,0.0389051139354706,0.00536241289228201,0.0195864271372557,0.021634828299284,0.00137645960785449,0.000298324564937502,0.799597501754761,0.0195864271372557,2.73905716312584e-05,0,0
"7",7,0.187922164797783,0.522182762622833,14140.1533203125,0.848458826541901,0,0,179795869696,0.168356418609619,0.246053889393806,0.0776975974440575,0.0280160270631313,53406636,799.859191894531,0,164.018280029297,53406464,0.254354596138,0.121776781976223,24.0156402587891,NA,NA,0.0832424685359001,0.0177999883890152,0.0169367305934429,0.0527269914746284,0.0628647580742836,0.0207836776971817,20.8693046569824,0.889999806880951,0.699165403842926,1.3181746006012,0.179613590240479,0.0593819804489613,0.00385184143669903,0.0961242094635963,0.021800734102726,0.38518413901329,NA,NA,200,0,14.4468212127686,-118.840270996094,1.1920462846756,NA,7.19979000091553,0.359989613294601,7.19979000091553,0.359989583492279,7.00013399124146,0.00821850076317787,0.0431897267699242,0.00858987029641867,0.0315942093729973,0.0352946743369102,0.0024412632919848,0.000525009410921484,0.657831847667694,0.0315942093729973,4.28669809480198e-05,0,0
"8",8,0.326993882656097,0.900733470916748,25522.806640625,0.834064722061157,0,0,179795869696,0.276773929595947,0.408986121416092,0.132212311029434,0.0476576946675777,57688376,799.930786132812,0,158.547821044922,57688216,0.402194261550903,0.20305335521698,48.3063278198242,NA,NA,0.127453252673149,0.0298618525266647,0.0272771269083023,0.0906070172786713,0.0989945530891418,0.0280004888772964,42.9862747192383,1.49309277534485,1.19894242286682,2.26517462730408,0.282841563224792,0.0800014659762383,0.00643487647175789,0.162319630384445,0.0342988558113575,0.643487691879272,NA,NA,200,0,31.9704971313477,-120.745956420898,2.022620677948,NA,15.2045116424561,0.7602259516716,15.2045116424561,0.7602259516716,8.00019931793213,0.0105754248797894,0.0477728322148323,0.0148277021944523,0.0513243824243546,0.0642168819904327,0.00474622240290046,0.000995146343484521,0.545559167861938,0.0513243824243546,6.73046743031591e-05,0.000529034063220024,0
"9",9,0.556879281997681,1.52412974834442,45675.58203125,0.816022038459778,0,0,179795869696,0.460872024297714,0.681309938430786,0.22043788433075,0.0815648511052132,61730420,799.930053710938,0,137.651229858398,61730292,0.624394059181213,0.36016184091568,83.4844360351562,NA,NA,0.1877511292696,0.0519127324223518,0.0439455099403858,0.153564900159836,0.150202170014381,0.0370175875723362,74.4940490722656,2.59563708305359,2.02072405815125,3.83912014961243,0.429149001836777,0.105764552950859,0.0111557152122259,0.287727475166321,0.0612786300480366,1.11557149887085,NA,NA,200,0,56.042179107666,-114.835914611816,3.36440062522888,NA,24.968879699707,1.24844396114349,24.968879699707,1.2484438419342,9.00026512145996,0.0134227788075805,0.0525529310107231,0.0250177420675755,0.0799752026796341,0.112988449633121,0.00770868267863989,0.00163619581144303,0.462863326072693,0.0799752026796341,0.000103665784990881,0.000380320765543729,0
"10",10,0.978450417518616,2.67395782470703,81303.40625,0.813522458076477,0,0,179795869696,0.777772068977356,1.15712559223175,0.37935397028923,0.140667632222176,46195496,799.934448242188,0,138.680557250977,46195360,1.01709306240082,0.604566812515259,153.966751098633,NA,NA,0.294974505901337,0.091270238161087,0.0740946605801582,0.268161624670029,0.240584880113602,0.0480071119964123,138.340270996094,4.5635142326355,3.53437495231628,6.70404100418091,0.687385439872742,0.137163236737251,0.0190225411206484,0.485943168401718,0.0996010974049568,1.90225410461426,NA,NA,200,0,96.6181793212891,-117.86336517334,5.89498329162598,NA,42.5873908996582,2.12936973571777,42.5873947143555,2.12936949729919,10.0003309249878,0.0166569594293833,0.057292316108942,0.0419272258877754,0.128347486257553,0.207530677318573,0.0147936912253499,0.00310002407059073,0.374040156602859,0.128347486257553,0.000155552930664271,0.00046321953414008,0
"11",11,1.69863128662109,4.63170289993286,144568.4375,0.798295140266418,0,0,179795869696,1.39115571975708,2.04243516921997,0.651280462741852,0.239907562732697,57568508,799.857055664062,0,111.816833496094,57568396,1.72197508811951,1.05093479156494,188.152481079102,NA,NA,0.516662120819092,0.159569576382637,0.12497440725565,0.466000020503998,0.392866730690002,0.061902143061161,161.114685058594,7.97847843170166,6.10996246337891,11.6500015258789,1.1224764585495,0.176863327622414,0.032778661698103,0.846431076526642,0.171725019812584,3.27786612510681,NA,NA,200,0,93.3390502929688,-114.575241088867,10.0764818191528,NA,75.2418823242188,3.76209568977356,75.2418746948242,3.76209568977356,11.0003967285156,0.0204705949872732,0.0622169077396393,0.0723289623856544,0.218736588954926,0.367661654949188,0.0255032144486904,0.00536845438182354,0.282998561859131,0.218736588954926,0.000224620656808838,0.000531824305653572,0
"12",12,2.33663105964661,5.62240743637085,237662.359375,0.679636657238007,0,0,179795869696,1.73797595500946,2.49089550971985,0.752920389175415,0.407408356666565,50947016,799.904479980469,0,105.079292297363,50946900,2.39551115036011,1.70796549320221,265.066162109375,NA,NA,0.870118021965027,0.180144309997559,0.152250647544861,0.559122145175934,0.555110335350037,0.0787659883499146,232.852325439453,9.0072135925293,7.41753149032593,13.9780473709106,1.58602917194366,0.225045755505562,0.0557996854186058,1.3458286523819,0.306337147951126,5.57996845245361,NA,NA,200,0,141.740264892578,-112.644790649414,13.3867750167847,NA,136.056762695312,6.80283832550049,136.056762695312,6.80283737182617,12.0004625320435,0.0248379465192556,0.0672203749418259,0.0657613947987556,0.279241621494293,0.778195321559906,0.0503503307700157,0.0103961797431111,0.282071083784103,0.279241621494293,0.000318792619509622,0.000629397807642817,0
"13",13,2.6003954410553,5.2998628616333,332399.59375,0.564528167247772,0,0,179795869696,1.86183273792267,2.62982416152954,0.767990946769714,0.651112496852875,42240616,799.914611816406,0,132.900970458984,42240476,2.79761528968811,2.51657605171204,321.197174072266,NA,NA,1.18928229808807,0.163699850440025,0.147304132580757,0.543031334877014,0.654001772403717,0.100295849144459,290.278839111328,8.18499374389648,7.00245475769043,13.5757761001587,1.86857688426971,0.286559402942657,0.0885288044810295,1.87576520442963,0.552282094955444,8.85288047790527,NA,NA,200,0,158.118881225586,-116.604476928711,12.8247365951538,NA,160.700485229492,8.0350227355957,160.700485229492,8.0350227355957,13.0005283355713,0.0299364179372787,0.0724324136972427,0.0635909363627434,0.323523581027985,2.27445650100708,0.0666463822126389,0.0138731356710196,0.310010939836502,0.323523581027985,0.000772168801631778,0.000723924138583243,0
"14",14,2.70987701416016,5.19100570678711,409221.875,0.538777709007263,0,0,179795869696,1.53948605060577,2.33649349212646,0.797006845474243,0.969299376010895,42532556,799.740295410156,0,129.381683349609,42532408,2.28807806968689,3.59629464149475,302.521362304688,NA,NA,0.763391137123108,0.178061574697495,0.148689657449722,0.516022861003876,0.553242564201355,0.12867034971714,271.899353027344,8.90307521820068,6.87003803253174,12.9005708694458,1.5806930065155,0.36762946844101,0.131108522415161,2.51833963394165,0.946846485137939,13.1108522415161,NA,NA,200,0,159.920471191406,-119.706474304199,11.0883865356445,NA,152.099380493164,7.6049690246582,152.099380493164,7.6049690246582,14.0005941390991,0.0359018072485924,0.0778928995132446,0.104568235576153,0.309546232223511,3.33983182907104,0.0488349087536335,0.0105622308328748,0.415674090385437,0.309546232223511,0.000609292299486697,0.00084520666860044,0
"15",15,3.1607301235199,6.65769529342651,429530.09375,0.576036214828491,0,0,179795869696,1.94606220722198,2.81690740585327,0.870844721794128,0.941705882549286,43188844,799.838134765625,0,111.708061218262,43188724,2.91882181167603,3.96992158889771,357.156402587891,NA,NA,0.980734884738922,0.291238039731979,0.190447226166725,0.626952469348907,0.66365247964859,0.165796741843224,315.741119384766,14.5619020462036,8.80970573425293,15.6738090515137,1.89614963531494,0.473704934120178,0.155372440814972,2.69324731826782,1.12130188941956,15.5372438430786,NA,NA,200,0,137.001129150391,-107.487060546875,14.8965082168579,NA,63.8949203491211,3.19474458694458,63.8949279785156,3.19474458694458,15.000659942627,0.0427927374839783,0.0835598856210709,0.0927350595593452,0.30407041311264,4.14675903320312,0.084284320473671,0.0181093961000443,0.545257747173309,0.30407041311264,0.000832867808640003,0.000987246748991311,0
"16",16,3.19368600845337,5.04844856262207,539692.5625,0.482208847999573,0,0,179795869696,1.63886392116547,2.36027312278748,0.721408545970917,0.924748361110687,49098044,799.915649414062,0,106.362976074219,49097944,3.08099746704102,4.52186965942383,301.588256835938,NA,NA,1.27776074409485,0.150007501244545,0.1561269313097,0.518901526927948,0.767224967479706,0.210975587368011,271.60888671875,7.50037336349487,6.71161031723022,12.9725255966187,2.19207143783569,0.602787494659424,0.175954714417458,2.98711037635803,1.35880446434021,17.5954723358154,NA,NA,200,0,105.01212310791,-93.5931777954102,12.5415639877319,NA,239.491119384766,11.9745559692383,239.491134643555,11.9745569229126,16.0007247924805,0.0502415299415588,0.0890991911292076,0.0671031847596169,0.32551908493042,2.99999046325684,0.0680218935012817,0.0143133876845241,0.64812046289444,0.32551908493042,0.00213653012178838,0.00169427320361137,0
"17",17,2.80306696891785,4.65265798568726,487684.9375,0.499574333429337,0,0,179795869696,1.28733599185944,2.02698755264282,0.739651739597321,1.18313872814178,52271576,799.931762695312,0,117.505920410156,52271464,2.41019678115845,5.29685735702515,326.800598144531,NA,NA,0.723146796226501,0.15341018140316,0.154548615217209,0.455543696880341,0.65438187122345,0.269165575504303,298.888793945312,7.67051124572754,6.21397495269775,11.3885860443115,1.86966240406036,0.769044876098633,0.203686401247978,3.36230278015137,1.73086810112,20.3686389923096,NA,NA,200,0,204.872650146484,-100.898307800293,9.72702121734619,NA,132.412338256836,6.62061548233032,132.412338256836,6.62061595916748,17.0004425048828,0.0583991482853889,0.0946259647607803,0.11534621566534,0.318893700838089,3.40603494644165,0.0334905348718166,0.00828602723777294,0.844060480594635,0.318893700838089,0.00150317698717117,0.00238750316202641,0
"18",18,2.63663172721863,5.4797306060791,360746.3125,0.55923980474472,0,0,179795869696,2.13881039619446,2.96905779838562,0.830247521400452,1.21958327293396,47688020,799.956909179688,0,118.750274658203,47687912,3.57028579711914,5.05599021911621,318.706878662109,NA,NA,1.43155884742737,0.224492266774178,0.185043185949326,0.551703989505768,0.830836534500122,0.346650868654251,282.999267578125,11.224609375,7.32614850997925,13.7925977706909,2.37381935119629,0.990431547164917,0.208694860339165,3.01359128952026,1.83370399475098,20.8694858551025,NA,NA,200,0,140.32958984375,-112.632781982422,12.7938184738159,NA,12.6483182907104,0.632415771484375,12.6483182907104,0.632415771484375,18.0001602172852,0.067734956741333,0.100408867001534,0.0933493301272392,0.349621713161469,2.80429244041443,0.0507727451622486,0.0121239675208926,0.991502702236176,0.349621713161469,0.00197192537598312,0.00252966373227537,0
"19",19,3.16699266433716,5.33329153060913,485560.65625,0.50102037191391,0,0,179795869696,1.66154444217682,2.4617133140564,0.800170361995697,1.11057829856873,47916768,799.939392089844,0,115.05305480957,47916648,4.00553417205811,5.17173719406128,280.078857421875,NA,NA,1.59009003639221,0.142398685216904,0.191932931542397,0.536319255828857,1.10041010379791,0.444383203983307,247.981170654297,7.11993312835693,7.15607500076294,13.4079751968384,3.1440281867981,1.26966667175293,0.209529012441635,2.99956321716309,1.96264517307281,20.9528999328613,NA,NA,200,0,94.6788711547852,-104.203590393066,13.4942750930786,NA,208.028045654297,10.4013996124268,208.028045654297,10.4013986587524,18.9998779296875,0.0783996284008026,0.106456361711025,0.0747874081134796,0.44663143157959,1.40810394287109,0.0989596992731094,0.0182600598782301,0.994966268539429,0.44663143157959,0.00521909724920988,0.00427443627268076,0
