"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1",1,0.0135900117456913,0.0353867746889591,320,1.98900902271271,0,0,0,0.00717347022145987,0.0146639375016093,0.00749047426506877,0.000304132787277922,44650784,799.902893066406,0,144.708038330078,44650668,0.0216673947870731,0.00341166579164565,1.31192696094513,NA,NA,0.00529457628726959,0.000329577422235161,0.00323334336280823,0.00359126133844256,0.00632684212177992,0.00289179384708405,1.11504316329956,0.0164788793772459,0.0642844140529633,0.0897815451025963,0.0180766917765141,0.00826227013021708,3.37450073857326e-05,0.00286293495446444,0.000514985818881541,0.00337450066581368,NA,NA,200,0,0.703099608421326,-90.0120849609375,0.0875128880143166,NA,3.07332779195719e-38,-0.00796969793736935,3.07332779195719e-38,-0.00796945858746767,1.00000047683716,0.00205037649720907,0.0247837118804455,0.00383614539168775,0.00281863636337221,0,0,0,1.02595496177673,0.00281863636337221,0,0,-1.40570281109698e-13
"2",2,0.0194574054330587,0.0457777380943298,629.033203125,1.48668670654297,0,0,0,0.0207987334579229,0.027523847296834,0.00672511104494333,0.000973242102190852,44772384,799.943786621094,0,121.223823547363,44772272,0.0370638333261013,0.00784073304384947,2.04313063621521,NA,NA,0.0146419769152999,0.000819792156107724,0.00299983890727162,0.00445291213691235,0.00728689134120941,0.00686242105439305,1.77649033069611,0.040989588946104,0.0739012882113457,0.111322797834873,0.0208196882158518,0.0196069180965424,0.000128500672872178,0.00655621802434325,0.00115601473953575,0.0128500666469336,NA,NA,200,0,0.86825567483902,-73.9808044433594,0.124124959111214,NA,0.313098549842834,0.0156549364328384,0.313098549842834,0.0156549382954836,1.99997925758362,0.00304144970141351,0.0290188379585743,0.000411126646213233,0.00496848672628403,0.000806532916612923,0.000417353614466265,0.000198847585124895,1.38118934631348,0.00496848672628403,2.01141619982081e-06,0,0
"3",3,0.0303438547998667,0.0792960822582245,1207.15173339844,1.2597963809967,0,0,0,0.027105238288641,0.0401448011398315,0.0130395730957389,0.00213680067099631,41133176,799.962890625,0,128.496826171875,41133052,0.0554526746273041,0.0144203323870897,3.56315445899963,NA,NA,0.0190936420112848,0.00171783822588623,0.00482526468113065,0.00789835397154093,0.013071320950985,0.00884625874459743,3.09162640571594,0.0858919247984886,0.125555783510208,0.197458744049072,0.0373466275632381,0.0252750273793936,0.000305674358969554,0.0122000882402062,0.00191456964239478,0.0305674374103546,NA,NA,200,0,1.77303159236908,-83.3982467651367,0.199927926063538,NA,0.597657859325409,0.0298828706145287,0.597657859325409,0.0298828724771738,2.99995803833008,0.00496517447754741,0.0353052839636803,0.00256328913383186,0.00780360493808985,0.00233393884263933,0.000868614879436791,0.000293559627607465,1.13361179828644,0.00780360493808985,4.01628312829416e-06,0,0
"4",4,0.0493949055671692,0.138362810015678,2435.54760742188,1.08538472652435,0,0,0,0.0406141988933086,0.0610572248697281,0.020443020388484,0.00351489544846117,57782996,799.943359375,0,112.637878417969,57782876,0.0807865560054779,0.0261857565492392,5.46962356567383,NA,NA,0.0238057002425194,0.00336179370060563,0.00745310494676232,0.0137698678299785,0.0220756568014622,0.0103204343467951,4.6530613899231,0.168089732527733,0.211665257811546,0.344246536493301,0.0630732998251915,0.0294869523495436,0.000580328982323408,0.0225274544209242,0.00307797337882221,0.058032900094986,NA,NA,200,0,2.38356709480286,-74.138313293457,0.349362164735794,NA,1.2768679857254,0.0638434216380119,1.2768679857254,0.0638434216380119,3.99993681907654,0.00781702157109976,0.0423340387642384,0.00371973006986082,0.010502721183002,0.00520819472149014,0.00158204464241862,0.000494679028633982,0.982643842697144,0.010502721183002,7.50036906538298e-06,0,0
"5",5,0.0775701999664307,0.228253751993179,4796.3349609375,0.973206281661987,0,0,0,0.068165048956871,0.100491777062416,0.0323268100619316,0.00820975750684738,46136464,799.894653320312,0,120.474609375,46136344,0.109288156032562,0.0576394572854042,9.92945575714111,NA,NA,0.0295771081000566,0.00603388156741858,0.0111030051484704,0.0225896202027798,0.0284850485622883,0.0114994961768389,8.60873413085938,0.301694095134735,0.340044289827347,0.564740478992462,0.0813858583569527,0.0328557081520557,0.00124527583830059,0.0453804805874825,0.0110137006267905,0.124527581036091,NA,NA,200,0,6.05274629592896,-78.4073028564453,0.539365231990814,NA,2.53586673736572,0.126793339848518,2.53586673736572,0.126793324947357,5.00000238418579,0.00446319906041026,0.0338318310678005,0.00585207529366016,0.0137035418301821,0.0109918881207705,0.00170921336393803,0.000509928329847753,0.839162349700928,0.0137035418301821,1.22398550956859e-05,0,0
"6",6,0.133483424782753,0.394776254892349,8531.8037109375,0.962869465351105,0,0,0,0.11677173525095,0.171944871544838,0.0551730543375015,0.0153841516003013,37591944,799.953369140625,0,147.612823486328,37591796,0.17498517036438,0.0933301225304604,14.4146537780762,NA,NA,0.0482057705521584,0.0128772519528866,0.0161112677305937,0.0391004756093025,0.0441330969333649,0.0145573019981384,12.0609922409058,0.643862664699554,0.564600825309753,0.977511644363403,0.126094549894333,0.0415922999382019,0.00233530113473535,0.0750630274415016,0.0159317944198847,0.233530104160309,NA,NA,200,0,6.76552200317383,-89.1547393798828,0.933736801147461,NA,4.21847820281982,0.210923954844475,4.21847820281982,0.210923969745636,6.00006818771362,0.00569139327853918,0.0372865125536919,0.00770119810476899,0.0211787205189466,0.0227988641709089,0.00236922036856413,0.000526494754012674,0.687355101108551,0.0211787205189466,1.92188635992352e-05,0,0
"7",7,0.242242395877838,0.708159208297729,16452.755859375,0.929772138595581,0,0,0,0.200408905744553,0.297182261943817,0.0967731848359108,0.0244134850800037,57758956,799.9736328125,0,102.877967834473,57758844,0.283648520708084,0.160662189126015,30.8338317871094,NA,NA,0.0741339325904846,0.0249649826437235,0.0249203704297543,0.0696293860673904,0.0712200999259949,0.0187797471880913,26.604663848877,1.24824917316437,0.983039617538452,1.74073457717896,0.203486010432243,0.0536564029753208,0.00404918706044555,0.132296055555344,0.0243169460445642,0.404918700456619,NA,NA,200,0,21.5644493103027,-80.7101211547852,1.64264917373657,NA,8.82254314422607,0.441127181053162,8.82254314422607,0.441127151250839,7.00013399124146,0.00725768553093076,0.0410942770540714,0.0126396557316184,0.0359561443328857,0.0414795055985451,0.00472230324521661,0.00103474059142172,0.522295892238617,0.0359561443328857,2.88950141111854e-05,0,0
"8",8,0.446806758642197,1.30166077613831,31584.849609375,0.911861658096313,0,0,0,0.368231147527695,0.546263158321381,0.178031623363495,0.046623021364212,45639480,799.799682617188,0,108.709205627441,45639360,0.480748981237411,0.285169929265976,73.8260192871094,NA,NA,0.123352490365505,0.0458158440887928,0.0412427894771099,0.127903953194618,0.117775686085224,0.0246582236140966,66.1578216552734,2.29079174995422,1.77285575866699,3.197598695755,0.336501955986023,0.0704520493745804,0.00732449674978852,0.237367302179337,0.0404781252145767,0.73244971036911,NA,NA,200,0,53.1804580688477,-86.0372009277344,2.94842672348022,NA,18.7575244903564,0.937876284122467,18.7575225830078,0.937876284122467,8.00019931793213,0.00915550254285336,0.0450954772531986,0.0225090924650431,0.0622432418167591,0.0811088159680367,0.00920945033431053,0.00209855521097779,0.396159052848816,0.0622432418167591,4.33396380685735e-05,0.000443633005488664,0
"9",9,0.826566219329834,2.39357042312622,60591.98828125,0.895809590816498,0,0,0,0.663588523864746,0.984343707561493,0.32075497508049,0.077922061085701,47787412,799.9404296875,0,86.8604354858398,47787320,0.819026112556458,0.532559812068939,90.6837310791016,NA,NA,0.199392050504684,0.0859585851430893,0.0703234374523163,0.234651520848274,0.196906745433807,0.0317937731742859,76.6471328735352,4.29792785644531,3.21895670890808,5.86628484725952,0.562590658664703,0.0908393487334251,0.0130417849868536,0.446916252374649,0.0726017579436302,1.30417847633362,NA,NA,200,0,38.7058143615723,-76.4880294799805,5.3714337348938,NA,33.832893371582,1.69164454936981,33.832893371582,1.69164478778839,9.00026512145996,0.011414198204875,0.0492534674704075,0.039649810642004,0.107976317405701,0.15456123650074,0.0178031586110592,0.00402626907452941,0.294451355934143,0.107976317405701,6.38253259239718e-05,0.000303725653793663,0
"10",10,1.56661880016327,4.55233335494995,115670.2421875,0.894994020462036,0,0,0,1.26411688327789,1.87499642372131,0.61087965965271,0.15563528239727,42431052,799.955627441406,0,100.755477905273,42430944,1.49741566181183,0.962649881839752,206.320587158203,NA,NA,0.370813280344009,0.164125740528107,0.126585125923157,0.447373688220978,0.348070085048676,0.0404476001858711,179.750961303711,8.20628547668457,6.06893587112427,11.1843423843384,0.994485914707184,0.115564554929733,0.0243458021432161,0.812608480453491,0.12569560110569,2.43458008766174,NA,NA,200,0,141.630020141602,-83.3279418945312,9.99853992462158,NA,62.9483680725098,3.1474175453186,62.9483680725098,3.14741730690002,10.0003309249878,0.0140060167759657,0.053454302251339,0.0728604346513748,0.195421025156975,0.298089623451233,0.0332043394446373,0.00749774090945721,0.206976711750031,0.195421025156975,9.20964812394232e-05,0.00036337977508083,0
